true_class,scratch_accuracy,scratch_images,pretrained_accuracy,pretrained_images,scratch_percent,pretrained_percent,improvement_points,species
01749_Animalia_Arthropoda_Insecta_Lepidoptera_Notodontidae_Peridea_basitriens,0.4,10,0.8,10,40.0,80.0,40.0,Peridea basitriens
01763_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Acraea_serena,0.7,10,0.7,10,70.0,70.0,0.0,Acraea serena
01773_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Anaea_aidea,0.0,10,0.8,10,0.0,80.0,80.0,Anaea aidea
01775_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Anartia_amathea,0.7,10,1.0,10,70.0,100.0,30.0,Anartia amathea
01793_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Biblis_hyperia,0.7,10,0.9,10,70.0,90.0,20.0,Biblis hyperia
01879_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Hypolimnas_misippus,0.7,10,0.9,10,70.0,90.0,20.0,Hypolimnas misippus
01889_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Junonia_lemonias,0.6,10,0.7,10,60.0,70.0,10.0,Junonia lemonias
01915_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Marpesia_chiron,0.4,10,0.7,10,40.0,70.0,30.0,Marpesia chiron
01950_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Phyciodes_graphica,0.6,10,0.7,10,60.0,70.0,10.0,Phyciodes graphica
01958_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Polygonia_faunus,0.8,10,0.9,10,80.0,90.0,10.0,Polygonia faunus
01972_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Speyeria_callippe,0.5,10,1.0,10,50.0,100.0,50.0,Speyeria callippe
02006_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Iphiclides_podalirius,0.4,10,1.0,10,40.0,100.0,60.0,Iphiclides podalirius
02011_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_bianor,0.4,10,0.6,10,40.0,60.0,20.0,Papilio bianor
02019_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_garamas,0.4,10,0.5,10,40.0,50.0,10.0,Papilio garamas
02021_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_helenus,0.4,10,0.9,10,40.0,90.0,50.0,Papilio helenus
